Innovative Electrical and Automation Systems,Klaipeda University,"Klaipėda, Lithuania"
International Accounting and Management,University of Siena,"Siena, Italy"
Law and Business LLM,Bath Spa University,"Bath, England"
Leadership MBA,Bath Spa University,"Bath, England"
LLM International Trade Law,Swansea University,"Swansea, Wales"
M.A. in Linguistics,Ben-Gurion University of the Negev,"Be'er Sheva, Israel"
MA Education,Swansea University,"Swansea, Wales"
MA in Education Management,King's College London,"London, England"
"MA in German Language, Literature and Culture",University of Pannonia,"Veszprém, Hungary"
MA Performance: Screen,University of the Arts London,"London, England"
MA Sociology (Urban Studies),"Goldsmiths, University of London","London, England"
Mathematics (F04) (Taught),The Open University,"Buckinghamshire, England"
Medical Education,Cardiff University,"Cardiff, Wales"
"MHS in Population, Family and Reproductive Health","Johns Hopkins University, Bloomberg School of Public Health","Baltimore, United States of America"
Mining Engineering and Management MS,South Dakota School of Mines & Technology,"Rapid City, United States of America"
MSc Biomedical Engineering,Linköping University,"Linköping, Sweden"
MSc Business with Finance,University of Essex Online,"Essex, England"
MSc by Research Sport and Exercise Science/Sports Studies,University of Lincoln,"Lincoln, England"
MSc Finance,UCL School of Management,"London, England"
Msc Global Finance,Montpellier Business School,"Montpellier, France"
MSc in Biotechnology and Chemical Engineering,Aarhus University,"Aarhus, Denmark"
MSc in Chemical Engineering,Politecnico di Milano,"Milan, Italy"
MSc in Cognitive Science,Aarhus University,"Aarhus, Denmark"
MSc in Design & Engineering,Politecnico di Milano,"Milan, Italy"
MSc in Digital and Interaction Design,Politecnico di Milano,"Milan, Italy"
MSc in International Management,University of Cumbria,"Lancaster, England"
MSc in Marketing and Innovation,ICN Business School,"Berlin, Germany"
MSc Industrial Engineering and Management,Linköping University,"Linköping, Sweden"
MSc Sports Business and Management,University of Liverpool Online Programmes,"Liverpool, England"
"MSPH in Population, Family and Reproductive Health","Johns Hopkins University, Bloomberg School of Public Health","Baltimore, United States of America"
MSc Industrial Engineering and Management,Linköping University,"Linköping, Sweden"
MSc Sports Business and Management,University of Liverpool Online Programmes,"Liverpool, England"
"MSPH in Population, Family and Reproductive Health","Johns Hopkins University, Bloomberg School of Public Health","Baltimore, United States of America"
MTh Old Testament Studies,University of Pretoria - Faculty of Theology and Religion,"Pretoria, South Africa"
MTh Old Testament Studies (Coursework),University of Pretoria - Faculty of Theology and Religion,"Pretoria, South Africa"
Museum and Heritage Studies MLitt,University of St Andrews,"St Andrews, Scotland"
National Award for Special Educational Needs Coordination PGCert,Bath Spa University,"Bath, England"
Oil and Gas (Taught),Lloyd's Maritime Academy,"London, England"
OTM in Dentistry,University of Pécs,"Pécs, Hungary"
PGCE Secondary Business Studies,Bath Spa University,"Bath, England"
PGCE Secondary English,Bath Spa University,"Bath, England"
PGCE Secondary History,Bath Spa University,"Bath, England"
PGCE Secondary Mathematics,Bath Spa University,"Bath, England"
PGCE Secondary Physical Education,Bath Spa University,"Bath, England"
PGCE Secondary Religious Education,Bath Spa University,"Bath, England"
PGCE Secondary Science,Bath Spa University,"Bath, England"
PGCert in Film and Screen Studies,"Goldsmiths, University of London","London, England"
Postgraduate in Fashion Product Management,IED - Istituto Europeo di Design,"Barcelona, Spain"
Space Science and Technology (Taught),The Open University,"Buckinghamshire, England"
Terrorism and Political Violence MLitt (Online or in Singapore),University of St Andrews,Multiple (2)
Pharmacy (PharmD),Cyprus Health and Social Sciences University,"Morphou, Cyprus"
Architecture and the Sustainable Environment - MSc,University of Kent,"Canterbury, England"
"Comparative Politics, Policy and Governance (Research)",Cardiff University,"Cardiff, Wales"
Composition and Creative Music Practice MA,University of Limerick,"Limerick, Ireland"
Computer Science,Cardiff University,"Cardiff, Wales"
Computer Science and Informatics (Research),Cardiff University,"Cardiff, Wales"
Creative Computing MSc,Bath Spa University,"Bath, England"
Creative Producing MA,Bath Spa University,"Bath, England"
Electrical Energy Systems (Taught),Cardiff University,"Cardiff, Wales"
"Engineering (Health, Technology and the Digital World) (Research)",Cardiff University,"Cardiff, Wales"
Finance (Taught),Cardiff University,"Cardiff, Wales"
Financial Economics (Taught),Cardiff University,"Cardiff, Wales"
Human Rights Law (Taught),Cardiff University,"Cardiff, Wales"
International Marketing,Jönköping University,"Jönköping, Sweden"
"Law (International Criminal Justice) - LLM, PDip",University of Kent,"Canterbury, England"
MA 3D Computer Animation,University of the Arts London,"London, England"
MA Art and Science,University of the Arts London,"London, England"
MA Arts and Lifestyle Journalism,University of the Arts London,"London, England"
MA Costume Design for Performance,University of the Arts London,"London, England"
MA Datafication and Digital Literacy,University of Groningen,"Groningen, Netherlands"
MA Fashion Entrepreneurship and Innovation,University of the Arts London,"London, England"
MA Photography,University of the Arts London,"London, England"
MRes Art: Theory and Philosophy,University of the Arts London,"London, England"
MSc BOOST - Biocontrol Solutions for Plant Health,Université Côte d'Azur,"Biot, France"
MSc Finance,University of Groningen,"Groningen, Netherlands"
MSc in Finance (FinTech and Financial Analytics),Hong Kong Baptist University / HKBU,"Hong Kong, China"
Music (Research),Cardiff University,"Cardiff, Wales"
Population Medicine (Research),Cardiff University,"Cardiff, Wales"
Social Science Research Methods (Politics) (Taught),Cardiff University,"Cardiff, Wales"
Sound (Arts) MA,Bath Spa University,"Bath, England"
Sound (Design) MA,Bath Spa University,"Bath, England"
Sound (Production) MA,Bath Spa University,"Bath, England"
"Sustainability, Planning and Environmental Policy (Taught)",Cardiff University,"Cardiff, Wales"
Computer Science with a Year of Study Abroad,Cardiff University,"Cardiff, Wales"
"PGDip in Promotional Media: Public Relations, Advertising and Marketing","Goldsmiths, University of London","London, England"
Professional Conservation (Taught),Cardiff University,"Cardiff, Wales"
MSc Business Administration: Change Management,University of Groningen,"Groningen, Netherlands"
Animation MA in English | Video Game,Moholy-Nagy University of Art and Design,"Budapest, Hungary"
Animation MA in English | Video Game,Moholy-Nagy University of Art and Design,"Budapest, Hungary"
Computer Science Online MSc,The University of Bath Online,"Bath, England"
Shipping Law (Taught),Cardiff University,"Cardiff, Wales"
MA Media & Communications,"Goldsmiths, University of London","London, England"
MA by Research Educational Research and Development,University of Lincoln,"Lincoln, England"
MSc in Architecture - Built Environment - Interiors,Politecnico di Milano,"Milan, Italy"
Advanced Mechanical Engineering (Taught),Cardiff University,"Cardiff, Wales"
"Sport, Exercise and Performance Psychology MSc",University of Limerick,"Limerick, Ireland"
International Marketing MSc,Newcastle University,"Newcastle upon Tyne, England"
Media and Journalism MA,Newcastle University,"Newcastle upon Tyne, England"
MSc International Business,University of Lincoln,"Lincoln, England"
MSc Management of Innovation,"Goldsmiths, University of London","London, England"
MA in Education Studies,Bath Spa University,"Bath, England"
Software Engineering MSc,De Montfort University,"Leicester, England"
Artificial Intelligence & Machine Learning MSc,University of Limerick,"Limerick, Ireland"
Chemistry (Research),Cardiff University,"Cardiff, Wales"
Children’s Psychological Disorders (Taught),Cardiff University,"Cardiff, Wales"
LegalTech (LLM),Mykolas Romeris University,"Vilnius, Lithuania"
MA in Environmental Humanities,Bath Spa University,"Bath, England"
MSc Astronomy,University of Groningen,"Groningen, Netherlands"
MSc Climate Change & Planetary Health,London School of Hygiene and Tropical Medicine,"London, England"
Physics (with Professional Placement),Cardiff University,"Cardiff, Wales"
Social and Public Policy (Taught),Cardiff University,"Cardiff, Wales"
Social Science Research Methods (International Relations) (Taught),Cardiff University,"Cardiff, Wales"
Songwriting (Campus Based) MA,Bath Spa University,"Bath, England"
MA Media & Communications,"Goldsmiths, University of London","London, England"
Energy and Sustainable Building Design MSc,De Montfort University,"Leicester, England"
MSc Intelligence,University of Portsmouth,"Portsmouth, England"
Aeronautical Engineering MSc,De Montfort University,"Leicester, England"
International Relations MA,De Montfort University,"Leicester, England"
Mechanical Engineering MSc,De Montfort University,"Leicester, England"
MSc Human Nutrition,Manchester Metropolitan University,"Manchester, England"
Advanced Practice (Nursing) MSc,University of Limerick,"Limerick, Ireland"
"Biomedical Science (Clinical Microbiology), MSc",Swansea University,"Swansea, Wales"
Biotechnology: Systems Biotechnology and Bioeconomy,Chalmers University of Technology,"Gothenburg, Sweden"
"Communication for Development (Part time, Online)",Malmö University,"Malmö, Sweden"
"Comparative, Evolutionary and Developmental Psychology: Origins of Mind (MSc)",University of St Andrews,"St Andrews, Scotland"
Environmental Management (F65) (Taught),The Open University,"Buckinghamshire, England"
European Studies (2 Years),University of Ljubljana,"Ljubljana, Slovenia"
Facility Management,Structuralia,"Alcobendas, Spain"
Finance (F67) (Taught),The Open University,"Buckinghamshire, England"
Human Computer Interaction MSc,University of St Andrews,"St Andrews, Scotland"
Hydrology and Water Management MSc,Newcastle University,"Newcastle upon Tyne, England"
International Banking and Finance MSc,De Montfort University,"Leicester, England"
International Business and Management MSc,De Montfort University,"Leicester, England"
International Film Production MA,De Montfort University,"Leicester, England"
International Human Resource Management,Cardiff University,"Cardiff, Wales"
International Nursing and Leadership MSc,De Montfort University,"Leicester, England"
LLM International Business Law,University of Essex Online,"Essex, England"
M.A. in English Literature,Ben-Gurion University of the Negev,"Be'er Sheva, Israel"
M.Sc. in Life Sciences,Ben-Gurion University of the Negev,"Be'er Sheva, Israel"
MA by Research Design,University of Lincoln,"Lincoln, England"
"MA Communication, Media Practice and Public Relations",Swansea University,"Swansea, Wales"
MA Conservation of Cultural Heritage,University of Lincoln,"Lincoln, England"
MA Fashion Textiles Technologies,University of the Arts London,"London, England"
"MA Fashion, Film and Digital Production",University of the Arts London,"London, England"
MA in Classical Studies,The Open University,"Buckinghamshire, England"
